Datum,20.08.26
Uhrzeit,05:35:19
[Auftragsdaten]
Pruefauftragsnummer     ,824902015333.mpg
Kommentar1              ,
Kommentar2              ,
Kommentar3              ,
Kommentar4              ,
Fuelldruck              ,
Kunde                   ,renauld
Kundennummer            ,
Typ                     ,
Teilenummer             ,
Fahrzeugachse           ,
VANummer                ,
Ventilbestnummer        ,
Oelsorte                ,
OelfuellmengeCCM        ,
OelfuellmengeG          ,
Montageart              ,
Kennzeichnung           ,
Prueflingstartnummer    ,1
Prueflinganzahl         ,1000
Auswerteverfahren       ,Produktion
Auswertefenster         ,50
Maximalkraft            ,1150
Kolbenstangendurchm     ,25
Pruefer                 ,
Einricht-Teil 1         ,
Einricht-Teil 2         ,
Einricht-Teil 3         ,
Einricht-Teil 4         ,
Einricht-Teil 5         ,
Einricht-Teil 6         ,
Einricht-Teil 7         ,
Einricht-Teil 8         ,
Einricht-Teil 9         ,
Einricht-Teil 10        ,
Greifposition           ,1323
Grundstellungsposition  ,1475
Ausziehposition         ,1350

[Messprogrammseite 1]
Zyklen,Hub,Mittelpos,Geschw,ZugOG-A1,ZugUG-A1,DruckOG-A1,DruckUG-A1
2,75,1335,0.262,0,0,0,0,4621242,4613528,4200380,4580856
0,4,10,0.005,0,0,1000,0,4621242,4613528,4200380,4580856
0,0,0,0.000,0,0,10000,0,4621242,4613528,4200380,4580856
1,75,1362,0.524,2750,1770,10000,0,4621242,4613528,4200380,4580856
0,50,1340,0.050,200,110,310,200,4621242,4613528,4200380,4580856
1,50,1335,0.100,510,380,710,530,4621242,4613528,4200380,4580856
0,50,1340,0.200,1120,870,1100,860,4621242,4613528,4200380,4580856
0,50,1340,0.300,1480,1160,1330,1050,4621242,4613528,4200380,4580856
1,75,1335,0.400,1860,1400,1530,1200,4621242,4613528,4200380,4580856
# QSStat

Datum,Uhrzeit,Achse,Bewertung,Nummer,Reibung,Ask,Temp,Barcode,Ventil,ZugV1,DruckV1,ZugV2,DruckV2,ZugV3,DruckV3,ZugV4,DruckV4,ZugV5,DruckV5,ZugV6,DruckV6,ZugV7,DruckV7,ZugV8,DruckV8,ZugV9,DruckV9,ZugV10,DruckV10
20.08.26,05:35:19,A1,IO,1,0,0,0, ,VE1,1913,1530,   0,   0, 471, 583,   0,   0,   0,   0,1646,1336,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:35:34,A1,IO,2,0,0,0, ,VE1,1959,1579,   0,   0, 490, 580,   0,   0,   0,   0,1707,1359,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:35:55,A1,IO,3,0,0,0, ,VE1,1963,1551,   0,   0, 485, 571,   0,   0,   0,   0,1691,1347,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:36:09,A1,IO,4,0,0,0, ,VE1,2018,1555,   0,   0, 496, 588,   0,   0,   0,   0,1733,1372,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:36:24,A1,IO,5,0,0,0, ,VE1,1978,1628,   0,   0, 492, 615,   0,   0,   0,   0,1714,1428,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:36:39,A1,IO,6,0,0,0, ,VE1,2055,1557,   0,   0, 496, 592,   0,   0,   0,   0,1779,1364,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:37:01,A1,IO,7,0,0,0, ,VE1,2142,1590,   0,   0, 454, 599,   0,   0,   0,   0,1827,1377,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:37:15,A1,IO,8,0,0,0, ,VE1,1908,1500,   0,   0, 489, 555,   0,   0,   0,   0,1641,1301,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:37:33,A1,IO,9,0,0,0, ,VE1,2028,1595,   0,   0, 473, 600,   0,   0,   0,   0,1755,1400,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:37:57,A1,IO,10,0,0,0, ,VE1,1994,1561,   0,   0, 470, 593,   0,   0,   0,   0,1712,1377,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:39:21,A1,IO,11,0,0,0, ,VE1,2024,1602,   0,   0, 474, 614,   0,   0,   0,   0,1735,1407,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:39:53,A1,NIO,12,0,0,0, ,VE1,1981,1462,   0,   0, 438, 484,   0,   0,   0,   0,1701,1275,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:40:07,A1,IO,13,0,0,0, ,VE1,1983,1479,   0,   0, 459, 565,   0,   0,   0,   0,1697,1291,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:40:23,A1,IO,14,0,0,0, ,VE1,1968,1567,   0,   0, 490, 574,   0,   0,   0,   0,1701,1381,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:40:38,A1,IO,15,0,0,0, ,VE1,1957,1574,   0,   0, 467, 610,   0,   0,   0,   0,1684,1369,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:40:59,A1,IO,16,0,0,0, ,VE1,1989,1541,   0,   0, 477, 547,   0,   0,   0,   0,1707,1343,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:41:14,A1,IO,17,0,0,0, ,VE1,2140,1562,   0,   0, 505, 606,   0,   0,   0,   0,1855,1386,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:41:30,A1,IO,18,0,0,0, ,VE1,1937,1504,   0,   0, 491, 568,   0,   0,   0,   0,1671,1311,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:41:47,A1,IO,19,0,0,0, ,VE1,2123,1570,   0,   0, 499, 575,   0,   0,   0,   0,1833,1372,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:42:02,A1,IO,20,0,0,0, ,VE1,1950,1497,   0,   0, 470, 557,   0,   0,   0,   0,1683,1335,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:42:17,A1,IO,21,0,0,0, ,VE1,1917,1601,   0,   0, 469, 596,   0,   0,   0,   0,1646,1395,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:42:32,A1,IO,22,0,0,0, ,VE1,2107,1569,   0,   0, 498, 602,   0,   0,   0,   0,1837,1365,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:42:46,A1,IO,23,0,0,0, ,VE1,1941,1538,   0,   0, 488, 553,   0,   0,   0,   0,1674,1347,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:43:00,A1,IO,24,0,0,0, ,VE1,1991,1586,   0,   0, 491, 558,   0,   0,   0,   0,1732,1396,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:43:15,A1,IO,25,0,0,0, ,VE1,1995,1627,   0,   0, 505, 649,   0,   0,   0,   0,1751,1437,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:43:30,A1,IO,26,0,0,0, ,VE1,2041,1566,   0,   0, 467, 579,   0,   0,   0,   0,1760,1347,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:43:46,A1,IO,27,0,0,0, ,VE1,1977,1545,   0,   0, 478, 598,   0,   0,   0,   0,1704,1340,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:44:00,A1,IO,28,0,0,0, ,VE1,1952,1512,   0,   0, 489, 565,   0,   0,   0,   0,1686,1321,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:44:18,A1,IO,29,0,0,0, ,VE1,2035,1599,   0,   0, 458, 607,   0,   0,   0,   0,1749,1389,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:44:33,A1,IO,30,0,0,0, ,VE1,1952,1561,   0,   0, 495, 577,   0,   0,   0,   0,1691,1356,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:44:48,A1,IO,31,0,0,0, ,VE1,2028,1598,   0,   0, 473, 568,   0,   0,   0,   0,1730,1377,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:45:04,A1,IO,32,0,0,0, ,VE1,1959,1579,   0,   0, 483, 608,   0,   0,   0,   0,1690,1383,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:45:19,A1,IO,33,0,0,0, ,VE1,2055,1635,   0,   0, 503, 564,   0,   0,   0,   0,1780,1414,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:45:40,A1,IO,34,0,0,0, ,VE1,2014,1561,   0,   0, 443, 542,   0,   0,   0,   0,1728,1359,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:46:06,A1,NIO,35,0,0,0, ,VE1,1899,1491,   0,   0, 435, 510,   0,   0,   0,   0,1623,1289,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:46:21,A1,IO,36,0,0,0, ,VE1,1938,1493,   0,   0, 467, 552,   0,   0,   0,   0,1659,1303,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:46:36,A1,IO,37,0,0,0, ,VE1,1954,1569,   0,   0, 493, 591,   0,   0,   0,   0,1684,1368,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:46:51,A1,IO,38,0,0,0, ,VE1,2029,1523,   0,   0, 493, 580,   0,   0,   0,   0,1758,1318,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:47:06,A1,IO,39,0,0,0, ,VE1,2055,1517,   0,   0, 495, 563,   0,   0,   0,   0,1763,1328,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:47:23,A1,IO,40,0,0,0, ,VE1,2003,1520,   0,   0, 485, 556,   0,   0,   0,   0,1726,1327,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:47:42,A1,IO,41,0,0,0, ,VE1,2071,1590,   0,   0, 485, 541,   0,   0,   0,   0,1811,1372,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:47:59,A1,IO,42,0,0,0, ,VE1,2078,1571,   0,   0, 503, 584,   0,   0,   0,   0,1797,1383,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:48:15,A1,IO,43,0,0,0, ,VE1,1997,1554,   0,   0, 483, 571,   0,   0,   0,   0,1720,1366,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:48:32,A1,IO,44,0,0,0, ,VE1,1971,1606,   0,   0, 462, 576,   0,   0,   0,   0,1694,1426,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:48:47,A1,IO,45,0,0,0, ,VE1,1926,1592,   0,   0, 449, 585,   0,   0,   0,   0,1647,1396,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:49:01,A1,IO,46,0,0,0, ,VE1,2081,1593,   0,   0, 482, 593,   0,   0,   0,   0,1801,1402,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:49:17,A1,IO,47,0,0,0, ,VE1,1989,1572,   0,   0, 466, 578,   0,   0,   0,   0,1698,1365,   0,   0,   0,   0,   0,   0,   0,   0,
20.08.26,05:49:53,A1,IO,48,0,0,0, ,VE1,1966,1594,   0,   0, 455, 578,   0,   0,   0,   0,1689,1400,   0,   0,   0,   0,   0,   0,   0,   0,
