Datum,20.04.26
Uhrzeit,14:50:28
[Auftragsdaten]
Pruefauftragsnummer     ,824902015334.mpg
Kommentar1              ,
Kommentar2              ,
Kommentar3              ,
Kommentar4              ,
Fuelldruck              ,
Kunde                   ,renauld
Kundennummer            ,
Typ                     ,
Teilenummer             ,
Fahrzeugachse           ,
VANummer                ,
Ventilbestnummer        ,
Oelsorte                ,
OelfuellmengeCCM        ,
OelfuellmengeG          ,
Montageart              ,
Kennzeichnung           ,
Prueflingstartnummer    ,1
Prueflinganzahl         ,1000
Auswerteverfahren       ,Produktion
Auswertefenster         ,50
Maximalkraft            ,1150
Kolbenstangendurchm     ,25
Pruefer                 ,
Einricht-Teil 1         ,
Einricht-Teil 2         ,
Einricht-Teil 3         ,
Einricht-Teil 4         ,
Einricht-Teil 5         ,
Einricht-Teil 6         ,
Einricht-Teil 7         ,
Einricht-Teil 8         ,
Einricht-Teil 9         ,
Einricht-Teil 10        ,
Greifposition           ,1335
Grundstellungsposition  ,1475
Ausziehposition         ,1350

[Messprogrammseite 1]
Zyklen,Hub,Mittelpos,Geschw,ZugOG-A1,ZugUG-A1,DruckOG-A1,DruckUG-A1
2,75,1335,0.262,0,0,0,0,4621242,4613528,4200380,4580856
0,4,10,0.005,0,0,1000,0,4621242,4613528,4200380,4580856
0,0,0,0.000,0,0,10000,0,4621242,4613528,4200380,4580856
1,75,1340,0.524,10000,0,10000,0,4621242,4613528,4200380,4580856
0,50,1340,0.050,390,270,820,570,4621242,4613528,4200380,4580856
1,50,1335,0.100,1030,800,1260,900,4621242,4613528,4200380,4580856
0,50,1340,0.200,1650,1300,1620,1200,4621242,4613528,4200380,4580856
0,50,1340,0.300,2010,1600,1900,1440,4621242,4613528,4200380,4580856
1,75,1335,0.400,2280,1820,2130,1600,4621242,4613528,4200380,4580856
# QSStat

Datum,Uhrzeit,Achse,Bewertung,Nummer,Reibung,Ask,Temp,Barcode,Ventil,ZugV1,DruckV1,ZugV2,DruckV2,ZugV3,DruckV3,ZugV4,DruckV4,ZugV5,DruckV5,ZugV6,DruckV6,ZugV7,DruckV7,ZugV8,DruckV8,ZugV9,DruckV9,ZugV10,DruckV10
20.04.26,14:50:28,A1,IO,1,0,0,0, ,VE1,2565,1965,   0,   0, 971, 933,   0,   0,   0,   0,2245,1727,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:50:45,A1,IO,2,0,0,0, ,VE1,2591,1985,   0,   0, 979,1023,   0,   0,   0,   0,2278,1774,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:51:02,A1,IO,3,0,0,0, ,VE1,2476,2011,   0,   0, 960, 966,   0,   0,   0,   0,2176,1768,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:51:18,A1,IO,4,0,0,0, ,VE1,2385,2156,   0,   0, 945,1124,   0,   0,   0,   0,2091,1915,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:51:45,A1,IO,5,0,0,0, ,VE1,2457,1978,   0,   0,1002, 991,   0,   0,   0,   0,2171,1746,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:52:01,A1,IO,6,0,0,0, ,VE1,2459,2062,   0,   0, 963,1064,   0,   0,   0,   0,2171,1823,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:52:19,A1,IO,7,0,0,0, ,VE1,2361,2129,   0,   0, 877,1114,   0,   0,   0,   0,2063,1888,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:52:33,A1,IO,8,0,0,0, ,VE1,2406,2140,   0,   0, 903,1097,   0,   0,   0,   0,2124,1907,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:52:50,A1,IO,9,0,0,0, ,VE1,2415,2094,   0,   0, 904,1052,   0,   0,   0,   0,2154,1852,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:53:05,A1,IO,10,0,0,0, ,VE1,2499,2128,   0,   0, 956,1098,   0,   0,   0,   0,2192,1890,   0,   0,   0,   0,   0,   0,   0,   0,
20.04.26,14:53:20,A1,IO,11,0,0,0, ,VE1,2411,2169,   0,   0, 872,1121,   0,   0,   0,   0,2110,1922,   0,   0,   0,   0,   0,   0,   0,   0,
