Datum,25.09.25
Uhrzeit,13:41:22
[Auftragsdaten]
Pruefauftragsnummer     ,824902015334.mpg
Kommentar1              ,
Kommentar2              ,
Kommentar3              ,
Kommentar4              ,
Fuelldruck              ,
Kunde                   ,renauld
Kundennummer            ,
Typ                     ,
Teilenummer             ,
Fahrzeugachse           ,
VANummer                ,
Ventilbestnummer        ,
Oelsorte                ,
OelfuellmengeCCM        ,
OelfuellmengeG          ,
Montageart              ,
Kennzeichnung           ,
Prueflingstartnummer    ,1
Prueflinganzahl         ,1000
Auswerteverfahren       ,Produktion
Auswertefenster         ,50
Maximalkraft            ,1150
Kolbenstangendurchm     ,25
Pruefer                 ,
Einricht-Teil 1         ,
Einricht-Teil 2         ,
Einricht-Teil 3         ,
Einricht-Teil 4         ,
Einricht-Teil 5         ,
Einricht-Teil 6         ,
Einricht-Teil 7         ,
Einricht-Teil 8         ,
Einricht-Teil 9         ,
Einricht-Teil 10        ,
Greifposition           ,1335
Grundstellungsposition  ,1475
Ausziehposition         ,1350

[Messprogrammseite 1]
Zyklen,Hub,Mittelpos,Geschw,ZugOG-A1,ZugUG-A1,DruckOG-A1,DruckUG-A1
2,75,1335,0.262,0,0,0,0,4621242,4613528,4200380,4580856
0,4,10,0.005,0,0,1000,0,4621242,4613528,4200380,4580856
0,0,0,0.000,0,0,10000,0,4621242,4613528,4200380,4580856
1,75,1370,0.524,10000,0,10000,0,4621242,4613528,4200380,4580856
0,50,1340,0.050,390,270,820,630,4621242,4613528,4200380,4580856
1,50,1335,0.100,1030,800,1260,880,4621242,4613528,4200380,4580856
0,50,1340,0.200,1650,1300,1620,1280,4621242,4613528,4200380,4580856
0,50,1340,0.300,2010,1600,1900,1510,4621242,4613528,4200380,4580856
1,75,1335,0.400,2280,1820,2130,1600,4621242,4613528,4200380,4580856
# QSStat

Datum,Uhrzeit,Achse,Bewertung,Nummer,Reibung,Ask,Temp,Barcode,Ventil,ZugV1,DruckV1,ZugV2,DruckV2,ZugV3,DruckV3,ZugV4,DruckV4,ZugV5,DruckV5,ZugV6,DruckV6,ZugV7,DruckV7,ZugV8,DruckV8,ZugV9,DruckV9,ZugV10,DruckV10
25.09.25,13:41:22,A1,IO,1,0,0,0, ,VE1,2772,1933,   0,   0, 870, 931,   0,   0,   0,   0,2050,1711,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:41:39,A1,IO,2,0,0,0, ,VE1,2574,1933,   0,   0, 958, 953,   0,   0,   0,   0,2129,1718,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:41:55,A1,IO,3,0,0,0, ,VE1,2643,2006,   0,   0, 967,1014,   0,   0,   0,   0,2073,1792,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:42:10,A1,IO,4,0,0,0, ,VE1,2728,2024,   0,   0, 863,1037,   0,   0,   0,   0,2147,1823,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:42:28,A1,IO,5,0,0,0, ,VE1,2556,2152,   0,   0, 944,1116,   0,   0,   0,   0,2064,1934,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:42:43,A1,IO,6,0,0,0, ,VE1,2603,1924,   0,   0, 986, 962,   0,   0,   0,   0,2169,1740,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:42:59,A1,IO,7,0,0,0, ,VE1,2465,2021,   0,   0, 879,1047,   0,   0,   0,   0,2044,1835,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:43:14,A1,IO,8,0,0,0, ,VE1,2781,2028,   0,   0, 982, 994,   0,   0,   0,   0,2054,1795,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:43:55,A1,NIO,9,0,0,0, ,VE1,2602,2443,   0,   0, 928, 806,   0,   0,   0,   0,2089,2195,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:44:10,A1,IO,10,0,0,0, ,VE1,2415,2008,   0,   0, 933,1016,   0,   0,   0,   0,1978,1807,   0,   0,   0,   0,   0,   0,   0,   0,
25.09.25,13:44:27,A1,IO,11,0,0,0, ,VE1,2764,2004,   0,   0, 887,1002,   0,   0,   0,   0,2040,1799,   0,   0,   0,   0,   0,   0,   0,   0,
