Datum,28.05.26
Uhrzeit,12:02:28
[Auftragsdaten]
Pruefauftragsnummer     ,824902015333.mpg
Kommentar1              ,
Kommentar2              ,
Kommentar3              ,
Kommentar4              ,
Fuelldruck              ,
Kunde                   ,renauld
Kundennummer            ,
Typ                     ,
Teilenummer             ,
Fahrzeugachse           ,
VANummer                ,
Ventilbestnummer        ,
Oelsorte                ,
OelfuellmengeCCM        ,
OelfuellmengeG          ,
Montageart              ,
Kennzeichnung           ,
Prueflingstartnummer    ,1
Prueflinganzahl         ,1000
Auswerteverfahren       ,Produktion
Auswertefenster         ,50
Maximalkraft            ,1150
Kolbenstangendurchm     ,25
Pruefer                 ,
Einricht-Teil 1         ,
Einricht-Teil 2         ,
Einricht-Teil 3         ,
Einricht-Teil 4         ,
Einricht-Teil 5         ,
Einricht-Teil 6         ,
Einricht-Teil 7         ,
Einricht-Teil 8         ,
Einricht-Teil 9         ,
Einricht-Teil 10        ,
Greifposition           ,1323
Grundstellungsposition  ,1475
Ausziehposition         ,1350

[Messprogrammseite 1]
Zyklen,Hub,Mittelpos,Geschw,ZugOG-A1,ZugUG-A1,DruckOG-A1,DruckUG-A1
2,75,1335,0.262,0,0,0,0,4621242,4613528,4200380,4580856
0,4,10,0.005,0,0,1000,0,4621242,4613528,4200380,4580856
0,0,0,0.000,0,0,10000,0,4621242,4613528,4200380,4580856
1,75,1360,0.524,2750,1770,10000,0,4621242,4613528,4200380,4580856
0,50,1340,0.050,200,110,310,200,4621242,4613528,4200380,4580856
1,50,1335,0.100,510,380,710,530,4621242,4613528,4200380,4580856
0,50,1340,0.200,1120,870,1100,860,4621242,4613528,4200380,4580856
0,50,1340,0.300,1480,1160,1330,1050,4621242,4613528,4200380,4580856
1,75,1335,0.400,1760,1400,1530,1200,4621242,4613528,4200380,4580856
# QSStat

Datum,Uhrzeit,Achse,Bewertung,Nummer,Reibung,Ask,Temp,Barcode,Ventil,ZugV1,DruckV1,ZugV2,DruckV2,ZugV3,DruckV3,ZugV4,DruckV4,ZugV5,DruckV5,ZugV6,DruckV6,ZugV7,DruckV7,ZugV8,DruckV8,ZugV9,DruckV9,ZugV10,DruckV10
28.05.26,12:02:28,A1,IO,1,0,0,0, ,VE1,2009,1668,   0,   0, 463, 690,   0,   0,   0,   0,1719,1467,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:02:49,A1,IO,2,0,0,0, ,VE1,1994,1576,   0,   0, 498, 620,   0,   0,   0,   0,1688,1376,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:03:03,A1,IO,3,0,0,0, ,VE1,2003,1649,   0,   0, 467, 617,   0,   0,   0,   0,1716,1437,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:03:18,A1,IO,4,0,0,0, ,VE1,2002,1646,   0,   0, 486, 670,   0,   0,   0,   0,1698,1451,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:03:31,A1,IO,5,0,0,0, ,VE1,2041,1596,   0,   0, 458, 648,   0,   0,   0,   0,1742,1387,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:03:47,A1,IO,6,0,0,0, ,VE1,1987,1677,   0,   0, 504, 640,   0,   0,   0,   0,1706,1461,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:04:08,A1,NIO,7,0,0,0, ,VE1,2050,1501,   0,   0, 504, 424,   0,   0,   0,   0,1748,1308,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:04:33,A1,NIO,8,0,0,0, ,VE1,2047,1492,   0,   0, 420, 396,   0,   0,   0,   0,1737,1282,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:05:33,A1,IO,9,0,0,0, ,VE1,1960,1630,   0,   0, 493, 662,   0,   0,   0,   0,1673,1421,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:05:50,A1,IO,10,0,0,0, ,VE1,1934,1618,   0,   0, 451, 649,   0,   0,   0,   0,1639,1430,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:06:04,A1,IO,11,0,0,0, ,VE1,1985,1596,   0,   0, 462, 641,   0,   0,   0,   0,1710,1397,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:06:27,A1,NIO,12,0,0,0, ,VE1,2010,1488,   0,   0, 491, 408,   0,   0,   0,   0,1704,1286,   0,   0,   0,   0,   0,   0,   0,   0,
28.05.26,12:07:49,A1,IO,13,0,0,0, ,VE1,1999,1627,   0,   0, 429, 593,   0,   0,   0,   0,1699,1414,   0,   0,   0,   0,   0,   0,   0,   0,
29.05.26,04:30:45,A1,IO,14,0,0,0, ,VE1,1980,1708,   0,   0, 483, 618,   0,   0,   0,   0,1688,1492,   0,   0,   0,   0,   0,   0,   0,   0,
29.05.26,04:31:00,A1,IO,15,0,0,0, ,VE1,1948,1528,   0,   0, 473, 601,   0,   0,   0,   0,1647,1342,   0,   0,   0,   0,   0,   0,   0,   0,
29.05.26,04:31:15,A1,IO,16,0,0,0, ,VE1,1972,1550,   0,   0, 494, 601,   0,   0,   0,   0,1700,1347,   0,   0,   0,   0,   0,   0,   0,   0,
29.05.26,04:31:30,A1,IO,17,0,0,0, ,VE1,1950,1616,   0,   0, 478, 602,   0,   0,   0,   0,1653,1417,   0,   0,   0,   0,   0,   0,   0,   0,
29.05.26,04:31:48,A1,IO,18,0,0,0, ,VE1,2058,1627,   0,   0, 490, 598,   0,   0,   0,   0,1758,1434,   0,   0,   0,   0,   0,   0,   0,   0,
29.05.26,04:32:06,A1,IO,19,0,0,0, ,VE1,1973,1535,   0,   0, 448, 549,   0,   0,   0,   0,1681,1362,   0,   0,   0,   0,   0,   0,   0,   0,
29.05.26,04:32:22,A1,IO,20,0,0,0, ,VE1,2000,1544,   0,   0, 469, 555,   0,   0,   0,   0,1699,1383,   0,   0,   0,   0,   0,   0,   0,   0,
29.05.26,04:32:38,A1,IO,21,0,0,0, ,VE1,2048,1606,   0,   0, 484, 611,   0,   0,   0,   0,1744,1398,   0,   0,   0,   0,   0,   0,   0,   0,
29.05.26,04:33:21,A1,IO,22,0,0,0, ,VE1,1949,1633,   0,   0, 454, 617,   0,   0,   0,   0,1668,1426,   0,   0,   0,   0,   0,   0,   0,   0,
